badth	maanasåjhtere
maanasåjhtere	hov
hov	varki
varki	tjaebpieslaakan
tjaebpieslaakan	åajjan
åajjan	viht
viht	tseegki
tseegki	,
,	aarebi
aarebi	goh
goh	viht
viht	bæjjese
bæjjese	deavam
deavam	tjeevtigan
tjeevtigan	.
.	Gånka
Gånka	gon
gon	trööhnegh
trööhnegh	maanasåjhterem
maanasåjhterem	stilligan
stilligan	sotnem
sotnem	aaj
aaj	leeredh
leeredh	guktie
guktie	varki
varki	tjoejkedh
tjoejkedh	jïh
jïh	guktie
guktie	treavkajgujmie
treavkajgujmie	vihth
vihth	bæjjese
bæjjese	tjaevtedh
tjaevtedh	.
.	”
”	Altse
Altse	majesteete
majesteete	tjoevere
tjoevere	dejtie
dejtie	kråvnide
kråvnide	geehtedidh
geehtedidh	”
”	,
,	Maanasåjhtere
Maanasåjhtere	jeehti
jeehti	.
.	”
”	Dagke
Dagke	jåasoeh
jåasoeh	”
”	Gånka
Gånka	jis
jis	.
.	”
”	Jis
Jis	mov
mov	prïnsetje
prïnsetje	maahta
maahta	,
,	dle
dle	manne
manne	aaj
aaj	maahtam
maahtam	.
.	”
”	Maanasåjhtere
Maanasåjhtere	tjaebpieslaakan
tjaebpieslaakan	krukngi
krukngi	,
,	boejhkeli
boejhkeli	guktie
guktie	treavkajgujmie
treavkajgujmie	heerredh
heerredh	,
,	guktie
guktie	sojjedh
sojjedh	,
,	guktie
guktie	slahkode
slahkode	tjoejkedh
tjoejkedh	jïh
jïh	guktie
guktie	treavkajgujmie
treavkajgujmie	tjöödtjestidh
tjöödtjestidh	.
.	Gånka
Gånka	gon
gon	trööhnegh
trööhnegh	seammasïenten
seammasïenten	tjoejkijigan
tjoejkijigan	.
.	Trööhnege
Trööhnege	snjæjradi
snjæjradi	,
,	mejtie
mejtie	aavojne
aavojne	jallh
jallh	mejtie
mejtie	lij
lij	bïlleminie
bïlleminie	,
,	idtji
idtji	maa
maa	Åvletje
Åvletje	buektehth
buektehth	dam
